rank,segment_id,location,road_id,km_from,km_to,lat,lon,blackspot_score,n_crashes,n_ksi,n_fatal,ksi_rate,crashes_per_year,speed_max,pct_night,pct_junction,future_ksi,future_fatal
41440,B3073_run0_km4.5,B3073 km 4.5-5.0,B3073,4.5,5.0,50.772158,-1.821425,0.11369326442855608,1,1,0,1.0,0.3333333333333333,30.0,0.0,0.0,0.0,0.0
41441,A358_run0_km13.5,A358 km 13.5-14.0,A358,13.5,14.0,51.073735,-3.202213,0.11368426298546046,1,1,0,1.0,0.3333333333333333,50.0,0.0,0.0,0.0,0.0
41442,A1075_run0_km32.0,A1075 km 32.0-32.5,A1075,32.0,32.5,52.440965,0.791676,0.11366816838195819,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41443,M5_run0_km123.0,M5 km 123.0-123.5,M5,123.0,123.5,51.5063075,-2.665334,0.11365866449539878,2,0,0,0.0,0.6666666666666666,70.0,0.0,0.0,0.0,0.0
41444,A697_run0_km4.0,A697 km 4.0-4.5,A697,4.0,4.5,55.223711,-1.7417465,0.11365840710137244,2,1,0,0.5,0.6666666666666666,60.0,0.0,0.0,0.0,0.0
41445,A66_run0_km50.0,A66 km 50.0-50.5,A66,50.0,50.5,54.542393,-2.39001,0.11365326893578097,1,0,0,0.0,0.3333333333333333,30.0,0.0,0.0,0.0,0.0
41446,A49_run0_km44.5,A49 km 44.5-45.0,A49,44.5,45.0,53.080985,-2.662826,0.11362887288844209,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41447,A(M)1_run0_km68.5,A(M)1 km 68.5-69.0,A(M)1,68.5,69.0,53.934389,-1.373931,0.11361079295090243,1,0,0,0.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
41448,A71_run0_km64.0,A71 km 64.0-64.5,A71,64.0,64.5,55.607354,-4.646684,0.11360192950972688,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41449,B3227_run0_km67.5,B3227 km 67.5-68.0,B3227,67.5,68.0,50.973379,-4.066741,0.11359501085706784,1,1,0,1.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41450,A30_run1_km118.0,A30 km 118.0-118.5 (seg 1),A30,118.0,118.5,51.0480675,-2.0302784999999997,0.11359112112569601,2,1,1,0.5,0.6666666666666666,60.0,0.0,0.0,0.0,0.0
41451,A140_run0_km49.0,A140 km 49.0-49.5,A140,49.0,49.5,52.560008,1.275932,0.11359001413625393,1,1,0,1.0,0.3333333333333333,50.0,0.0,0.0,1.0,0.0
41452,A30_run0_km126.5,A30 km 126.5-127.0,A30,126.5,127.0,50.730382,-3.6846915,0.11358065882237546,2,1,0,0.5,0.6666666666666666,70.0,0.0,0.0,0.0,0.0
41453,A290_run0_km7.5,A290 km 7.5-8.0,A290,7.5,8.0,51.331808,1.024257,0.11357248563272299,1,0,0,0.0,0.3333333333333333,60.0,1.0,0.0,0.0,0.0
41454,A721_run0_km12.5,A721 km 12.5-13.0,A721,12.5,13.0,55.694575,-3.587156,0.11356873209466398,1,1,1,1.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41455,A141_run0_km42.5,A141 km 42.5-43.0,A141,42.5,43.0,52.566547,0.061903,0.11356278331445754,1,1,0,1.0,0.3333333333333333,20.0,1.0,0.0,0.0,0.0
41456,A15_run2_km53.5,A15 km 53.5-54.0 (seg 2),A15,53.5,54.0,52.668891,-0.320538,0.11356236658232877,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41457,B3092_run0_km8.0,B3092 km 8.0-8.5,B3092,8.0,8.5,50.993054,-2.292456,0.11355932406722244,1,0,0,0.0,0.3333333333333333,60.0,0.0,0.0,0.0,0.0
41458,A30_run1_km84.5,A30 km 84.5-85.0 (seg 1),A30,84.5,85.0,50.961803,-2.442271,0.11355680302654847,1,0,0,0.0,0.3333333333333333,60.0,0.0,1.0,0.0,0.0
41459,B3081_run0_km65.0,B3081 km 65.0-65.5,B3081,65.0,65.5,51.149612,-2.507002,0.11354903595236235,1,1,0,1.0,0.3333333333333333,30.0,1.0,0.0,0.0,0.0
41460,A15_run1_km5.0,A15 km 5.0-5.5 (seg 1),A15,5.0,5.5,53.630548,-0.436805,0.11354747860211942,1,1,1,1.0,0.3333333333333333,70.0,0.0,0.0,0.0,0.0
