category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
police_force,30.0,774,0.002717825900090685,0.030187362237927416,0.023451500464688125,30,False
police_force,23.0,354,0.0006995127424920329,0.03063227234129874,0.023257734926203824,23,False
police_force,3.0,331,-0.00040456265090615,0.04419034904634242,0.03472403568434328,3,False
police_force,6.0,1052,-0.0012969178861072708,0.04882273928604434,0.039616748353811286,6,False
police_force,46.0,1497,-0.009273197140153391,0.03408694923126375,0.028138662535522243,46,False
police_force,50.0,1141,-0.03487818477473635,0.03279883876913401,0.04022240062332633,50,False
police_force,1.0,9178,-0.038760342367416815,0.05101746570302288,0.05184711102102957,1,False
police_force,32.0,651,-0.07847332978622991,0.03432079783992641,0.07869521145047313,32,False
police_force,5.0,843,-0.1195888235030121,0.04283708378074739,0.1195888235030121,5,False
police_force,52.0,914,-0.1759263186712997,0.06010494546192591,0.17672011177396874,52,False
police_force,10.0,760,-0.177096414580058,0.03995127810629921,0.17709641458005804,10,False
police_force,7.0,653,-0.22023621032850324,0.04186175261909371,0.22023621032850327,7,False
police_force,54.0,503,-0.2533366728914936,0.0735243905425915,0.2533366728914936,54,False
police_force,62.0,379,-0.2584612624921337,0.055093936306752245,0.2584612624921337,62,False
police_force,55.0,588,-0.28648549358114933,0.06805015689685806,0.28648549358114933,55,False
police_force,12.0,583,-0.3297917876663785,0.05986399711249938,0.3297917876663785,12,False
